"(-0.06932617268557383, 0.10012920924332794)","(-0.06901991118328761, 0.09823480986434173)","(-0.06882435763408049, 0.10243656909936617)","(-0.06889592832092004, 0.10311905680841256)","(-0.0691370406665353, 0.1006665316755706)","(-0.06859800544911179, 0.09976317306774668)","(-0.06945430824783888, 0.10167014242382938)","(-0.06855689904626727, 0.1000330576534324)","(-0.06920452827061989, 0.09797683509855681)","(-0.06955607749441246, 0.09940497304568599)"
"(-0.07943266715261271, 0.118631025036685)","(-0.07823210586323505, 0.11563446885937645)","(-0.08010578096559068, 0.1139833215188792)","(-0.07872888946118894, 0.11541594333173873)","(-0.07934687719024958, 0.11528013780559329)","(-0.07988457705583239, 0.11295890325261869)","(-0.07904438640385851, 0.11766728434617138)","(-0.08018789172135675, 0.11257374999428939)","(-0.07954570819647644, 0.11538441026467067)","(-0.07958048654336648, 0.11649952478901691)"
"(-0.09093515421274069, 0.1333902701616907)","(-0.09099477497166555, 0.13306340795559224)","(-0.09103542861773112, 0.13323235296716976)","(-0.0910160638281152, 0.1289753823220495)","(-0.09086749717316121, 0.13003519363874408)","(-0.08996274966642348, 0.1313244790809718)","(-0.09150648395759131, 0.1339776850541312)","(-0.09104079428290524, 0.129617372115304)","(-0.09121968048395815, 0.1351114819844842)","(-0.09085184554509039, 0.13205031768351333)"
"(-0.10472987460936385, 0.14746118288500037)","(-0.10386165256437334, 0.14928829157099305)","(-0.10404734789505007, 0.15040929849716525)","(-0.10323108092119747, 0.14817882768047297)","(-0.10259196342904893, 0.1485083491689001)","(-0.10444597392470198, 0.15068743807271598)","(-0.10390909367225176, 0.15102326326373444)","(-0.10496055032430877, 0.14876368789015254)","(-0.102900192747675, 0.1477323139065134)","(-0.10327426708240114, 0.148703602144406)"
"(-0.1189389801081048, 0.17542963502789646)","(-0.11929475133049165, 0.17122029318760726)","(-0.11906192901330287, 0.1748556622440825)","(-0.11826538821629004, 0.17225583364866234)","(-0.11922896573394842, 0.17040119901732095)","(-0.11749570112089933, 0.17396275482000212)","(-0.11917836836727118, 0.1745830107066992)","(-0.11878645212637676, 0.17724901795464934)","(-0.11956057429856141, 0.17208750258866085)","(-0.11823700112072717, 0.17105777244611295)"
"(-0.1358368069967568, 0.1946090532779305)","(-0.13485499052615843, 0.19328128038592923)","(-0.1351902959482769, 0.19465079814812988)","(-0.1358445137594069, 0.19552415866135583)","(-0.1346455863092871, 0.19936182916189246)","(-0.13605854805946038, 0.19904245197546888)","(-0.13425076799559632, 0.19658757805429644)","(-0.1362051551294838, 0.197707601701987)","(-0.13572205179193667, 0.19236013542821861)","(-0.13529051390984495, 0.20290058386998522)"
"(-0.154105563907052, 0.2251748731965614)","(-0.15352694000696396, 0.22220509083330145)","(-0.15416074739747979, 0.22434525781591672)","(-0.1541084156542732, 0.2213270403025119)","(-0.15438189491181173, 0.22135760065666488)","(-0.1543903729798014, 0.22665806445748543)","(-0.154388351881291, 0.22362169336594948)","(-0.15310371578682985, 0.22306528237073112)","(-0.15509174559745337, 0.22235818890087478)","(-0.153480632187774, 0.2268361644469249)"
"(-0.17436568683766718, 0.25528039653752843)","(-0.176234796413721, 0.25422793508671665)","(-0.17403471538491116, 0.2514371953187303)","(-0.17432650516391074, 0.25511871910785544)","(-0.17418696084917093, 0.2531479644810759)","(-0.1754649043529236, 0.24850277690723555)","(-0.17528491782726388, 0.25860716852471916)","(-0.1744619367421563, 0.2572851833670274)","(-0.17727983204668085, 0.2495396461747692)","(-0.17542013484972635, 0.2511098609097993)"
"(-0.1998992361517634, 0.2882279808201132)","(-0.19838165276942551, 0.29167395115831235)","(-0.19850610371012367, 0.29334091684741787)","(-0.19925858329123147, 0.2929471975815838)","(-0.19703288637714003, 0.2916827908664744)","(-0.2008285297333745, 0.283616962712915)","(-0.19872316560019107, 0.290752284656792)","(-0.19939797293593564, 0.29373781526404813)","(-0.1999525589258937, 0.28871214393272515)","(-0.19891255948612463, 0.28879240288265734)"
"(-0.22740379986029358, 0.3297229797063865)","(-0.22431770476933371, 0.3279866418378479)","(-0.22554378813076473, 0.32892551723282426)","(-0.22572240855278378, 0.3269719254909634)","(-0.22427969936154196, 0.3227807295391748)","(-0.22771491565225524, 0.3195506783136451)","(-0.2257059450129806, 0.32548937493913727)","(-0.22676454144531855, 0.33483267481775303)","(-0.2236510769088459, 0.32631517353961886)","(-0.2242911842273173, 0.33571467863352505)"
