77.0,96.0,88.0,94.0,93.0,92.0,86.0,77.0,84.0,54.0,71.0,65.0,69.0,57.0,49.0,47.0,54.0,55.0,47.0,40.0
98.0,104.0,72.0,102.0,95.0,89.0,60.0,75.0,96.0,70.0,78.0,57.0,65.0,50.0,59.0,44.0,52.0,44.0,45.0,28.0
94.0,84.0,110.0,88.0,93.0,72.0,87.0,64.0,84.0,68.0,43.0,75.0,60.0,48.0,61.0,64.0,50.0,49.0,44.0,37.0
104.0,88.0,98.0,75.0,85.0,81.0,79.0,73.0,74.0,67.0,56.0,41.0,70.0,59.0,55.0,58.0,48.0,47.0,44.0,30.0
95.0,77.0,101.0,87.0,83.0,86.0,79.0,76.0,76.0,67.0,60.0,53.0,61.0,51.0,62.0,44.0,38.0,40.0,41.0,38.0
77.0,86.0,85.0,96.0,77.0,93.0,90.0,81.0,68.0,71.0,63.0,64.0,64.0,57.0,64.0,49.0,49.0,44.0,40.0,52.0
121.0,90.0,73.0,83.0,80.0,67.0,71.0,75.0,59.0,85.0,59.0,57.0,62.0,61.0,67.0,47.0,38.0,40.0,48.0,32.0
72.0,90.0,87.0,83.0,68.0,78.0,86.0,72.0,62.0,75.0,67.0,63.0,71.0,71.0,55.0,50.0,36.0,46.0,36.0,30.0
109.0,92.0,80.0,93.0,94.0,95.0,96.0,72.0,68.0,85.0,72.0,64.0,60.0,52.0,46.0,49.0,42.0,57.0,51.0,38.0
85.0,79.0,115.0,76.0,75.0,79.0,76.0,61.0,82.0,82.0,63.0,52.0,57.0,70.0,47.0,46.0,37.0,44.0,37.0,30.0
104.0,95.0,103.0,96.0,87.0,81.0,84.0,77.0,75.0,64.0,76.0,56.0,58.0,56.0,48.0,47.0,44.0,37.0,47.0,47.0
98.0,94.0,100.0,87.0,74.0,88.0,78.0,76.0,88.0,61.0,72.0,46.0,55.0,45.0,58.0,60.0,50.0,50.0,47.0,38.0
86.0,92.0,85.0,98.0,93.0,84.0,83.0,69.0,87.0,72.0,61.0,63.0,64.0,54.0,54.0,47.0,57.0,39.0,34.0,40.0
83.0,76.0,92.0,83.0,75.0,79.0,67.0,68.0,71.0,72.0,65.0,73.0,63.0,63.0,56.0,54.0,55.0,44.0,41.0,28.0
82.0,111.0,86.0,77.0,62.0,95.0,100.0,78.0,84.0,66.0,75.0,65.0,60.0,53.0,65.0,51.0,48.0,50.0,41.0,36.0
94.0,98.0,96.0,82.0,83.0,66.0,75.0,53.0,75.0,72.0,57.0,64.0,44.0,55.0,54.0,41.0,48.0,24.0,38.0,32.0
104.0,94.0,98.0,89.0,89.0,82.0,75.0,92.0,66.0,68.0,72.0,57.0,58.0,73.0,46.0,48.0,39.0,42.0,48.0,38.0
89.0,90.0,96.0,81.0,99.0,85.0,77.0,90.0,64.0,72.0,69.0,58.0,63.0,53.0,52.0,53.0,50.0,36.0,43.0,32.0
97.0,108.0,84.0,85.0,95.0,76.0,74.0,72.0,54.0,75.0,66.0,67.0,76.0,50.0,61.0,51.0,47.0,35.0,35.0,44.0
95.0,82.0,81.0,84.0,93.0,86.0,91.0,70.0,77.0,64.0,68.0,51.0,62.0,52.0,74.0,45.0,53.0,42.0,39.0,38.0
