"(-0.08304286669702962, 0.01725643943243295)","(-0.08302527537358619, 0.01734230276282559)","(-0.08309076064162062, 0.017428173893577235)","(-0.0829801655393257, 0.01732781759093769)","(-0.08309753515071742, 0.017337134939108736)"
"(-0.0898822937195088, 0.01843155475204262)","(-0.089899575387396, 0.018685532025147403)","(-0.0900518262262513, 0.018601483241966414)","(-0.08989865879733276, 0.018734511573320116)","(-0.08989021447227487, 0.018621361451193603)"
"(-0.09735294452696766, 0.020281639210217046)","(-0.09718594654911164, 0.020145803377855116)","(-0.09720547693582116, 0.019917431023680703)","(-0.09730427112688522, 0.020087956688581873)","(-0.09727200800786807, 0.01995311327058523)"
"(-0.1054034388093039, 0.021834224203124142)","(-0.10522238680735395, 0.02182584959292715)","(-0.10543662536174561, 0.021750951684366235)","(-0.10543603284088077, 0.02184314399654542)","(-0.10534149318526186, 0.021074451690973307)"
"(-0.11384512133371585, 0.02332222683798577)","(-0.11408633272797644, 0.02302305301370468)","(-0.11398273601836285, 0.023278246913678222)","(-0.11394404850482948, 0.023433891362450228)","(-0.11412683904430242, 0.02355736961591877)"
"(-0.12319331831955485, 0.025195876320759435)","(-0.12320589816004231, 0.02505469153602166)","(-0.12318125785947755, 0.025173470236628095)","(-0.12347358269072249, 0.025258336277173443)","(-0.12341902978230491, 0.02526924721047714)"
"(-0.13314602122491273, 0.027215734560456607)","(-0.13330080232016703, 0.027468069100938883)","(-0.1329173029476759, 0.026932819631708356)","(-0.13310503616340094, 0.027092996538207206)","(-0.13343970638477032, 0.027295883113635393)"
"(-0.1439216198055644, 0.029364707640610558)","(-0.1439181937339297, 0.0294516602199917)","(-0.14370724366232632, 0.029248742368712922)","(-0.14379571487523982, 0.029534514584055798)","(-0.14367243945919728, 0.029477992382844626)"
"(-0.15534975972615833, 0.031508712925224)","(-0.1554077434596331, 0.03173366079990196)","(-0.15539752211329375, 0.03154923690488649)","(-0.155382681869138, 0.031768906039925916)","(-0.1551548455567156, 0.03152234860933208)"
"(-0.1674457477020323, 0.03390651296662302)","(-0.16771884355541647, 0.03397324665195443)","(-0.16749128903530294, 0.03408966526490492)","(-0.16767099673689437, 0.034133956238074574)","(-0.16728911216914621, 0.033825163079272594)"
"(-0.18069446159207572, 0.03678139054673898)","(-0.18060986838772009, 0.03682494713764081)","(-0.1807976110113001, 0.03653931720839338)","(-0.18056603416886607, 0.036468703928015614)","(-0.18074539411219934, 0.036795472951084686)"
"(-0.19500459640867035, 0.0390175676844041)","(-0.1945497773814027, 0.039655045220648326)","(-0.19487156992692886, 0.03931356328773931)","(-0.19499617678356712, 0.039377325724991814)","(-0.195282859073573, 0.0392520983496904)"
"(-0.21023089675322654, 0.04266821732942511)","(-0.2099270335548591, 0.042656770948557056)","(-0.209960990468619, 0.04284534725717293)","(-0.20963977204204406, 0.04219971896453365)","(-0.21003773653872676, 0.04224424568368635)"
"(-0.22626833682891678, 0.04551355161678997)","(-0.22623420739018182, 0.046135057035471765)","(-0.22676081536981893, 0.04579962009726997)","(-0.22655887750834364, 0.04532891864324765)","(-0.22634797528195214, 0.04583063914332339)"
"(-0.2441115492340958, 0.04905186518162221)","(-0.24307822034582832, 0.04939096854144611)","(-0.24381373986182497, 0.04909586819211296)","(-0.24374365043305302, 0.04923912423866267)","(-0.24380226362937554, 0.048706975446991756)"
"(-0.26258486812140797, 0.05237590879781849)","(-0.26235280116519716, 0.05349135269326394)","(-0.2627260816954632, 0.0523186572019494)","(-0.2627661507710587, 0.05316074606881211)","(-0.26255781396285666, 0.05232159721916113)"
"(-0.2823678207321103, 0.05678678426107601)","(-0.2829239565386938, 0.0568716111846675)","(-0.28231303479955033, 0.05720141462893425)","(-0.2825618681917934, 0.056648434209850454)","(-0.2824442017940771, 0.05747431689627959)"
"(-0.3033212533744482, 0.0613216575876768)","(-0.30356971823884354, 0.06083952647409773)","(-0.3033460531913963, 0.06084096089222455)","(-0.3035246366003433, 0.06094096142355602)","(-0.3033494448980058, 0.06082736854220617)"
"(-0.32628157436167715, 0.06598274413068222)","(-0.32667433039258775, 0.06447582793815644)","(-0.32657712858952664, 0.06509227106650374)","(-0.3262958683201608, 0.06511902320109769)","(-0.3258902582356408, 0.06563943124779976)"
"(-0.35103053106346704, 0.07004027558236585)","(-0.35096184710046635, 0.0704568642570486)","(-0.350879380825008, 0.07038648318284739)","(-0.3514576461578206, 0.06962192239500795)","(-0.3505451693925146, 0.07072016820323841)"
"(-0.3765552507945269, 0.07515899422899397)","(-0.3767932681548888, 0.07517128536774734)","(-0.37721470832078846, 0.07507358048285953)","(-0.37684142952981015, 0.07556962349067059)","(-0.37680073325762065, 0.07543361105524377)"
"(-0.4040010844639327, 0.08083875422872551)","(-0.4043915842363457, 0.0804422038268635)","(-0.4047099274574186, 0.08023756535262386)","(-0.40474188189596455, 0.08110963043225759)","(-0.4048005456770259, 0.08143530009195572)"
"(-0.43464972849303884, 0.08744371685549203)","(-0.43605594688144683, 0.08691076968191278)","(-0.4343272083785596, 0.08764768838988371)","(-0.4350351510144891, 0.08742087514970592)","(-0.4350135834663617, 0.08770762824114656)"
"(-0.4660471703216483, 0.09248224855619133)","(-0.4656753517720235, 0.09213831631600469)","(-0.4654036605305472, 0.0934218875908713)","(-0.4658856677405939, 0.09339037412103425)","(-0.46628707823515686, 0.09312390901065676)"
"(-0.4997331983762, 0.09899682971502596)","(-0.5002645154932177, 0.1010547824818235)","(-0.49909910671667823, 0.1018834275234331)","(-0.5004589237551104, 0.0996643023026406)","(-0.4996287592817262, 0.10096046140742651)"
